defined_class	defined_class_name	entity	entity_name	attribute	attribute_name	exact_synonyms	xrefs	orcid
OBA:0000036	body fluid levels	UBERON:0006314	bodily fluid	PATO:0000918	volume			
OBA:0000006	Malpighian tubule diameter	UBERON:0001054	Malpighian tubule	PATO:0001334	diameter			
OBA:0000007	Malpighian tubule size	UBERON:0001054	Malpighian tubule	PATO:0000117	size			
OBA:0000011	actin filament length	GO:0005884	actin filament	PATO:0000122	length			
OBA:0000015	anatomical structure size	UBERON:0000061	anatomical structure	PATO:0000117	size			
OBA:0000022	autophagic vacuole size	GO:0005776	autophagosome	PATO:0000117	size			
OBA:0000023	axon diameter	GO:0030424	axon	PATO:0001334	diameter			
OBA:0000032	blood vessel size	UBERON:0001981	blood vessel	PATO:0000117	size			
OBA:0000048	cell diameter	CL:0000000	cell	PATO:0001334	diameter			
OBA:0000051	cell projection size	GO:0042995	cell projection	PATO:0000117	size			
OBA:0000052	cell shape	CL:0000000	cell	PATO:0000052	shape			
OBA:0000055	cell size	CL:0000000	cell	PATO:0000117	size			
OBA:0000056	cell volume	CL:0000000	cell	PATO:0000918	volume			
OBA:0000057	cellular component size	GO:0005575	cellular_component	PATO:0000117	size			
OBA:0000060	cilium beat frequency	GO:0003341	cilium movement	PATO:0000044	frequency			
OBA:0000061	circulating fibrinogen levels	GO:0005577	fibrinogen complex	PATO:0000070	amount			
OBA:0000066	direction of cell growth	GO:0016049	cell growth	PATO:0000039	direction			
OBA:0000067	embryonic cell shape	CL:0002321	embryonic cell	PATO:0000052	shape			
OBA:0000068	endosome size	GO:0005768	endosome	PATO:0000117	size			
OBA:0000084	imaginal disc-derived wing size	UBERON:0000984	imaginal disc-derived wing	PATO:0000117	size			
OBA:0000088	liquid surface tension	PATO:0001735	liquid configuration	PATO:0001461	surface tension			
OBA:0000092	lysosomal membrane permeability	GO:0005765	lysosomal membrane	PATO:0000970	permeability			
OBA:0000099	membrane potential trait	GO:0016020	membrane	PATO:0001464	electric potential			
OBA:0000101	metanephric kidney size	UBERON:0000081	metanephros	PATO:0000117	size			
OBA:0000102	microvillus length	GO:0005902	microvillus	PATO:0000122	length			
OBA:0000104	mitochondrial membrane permeability	GO:0031966	mitochondrial membrane	PATO:0000970	permeability			
OBA:0000107	multivesicular body size	GO:0005771	multivesicular body	PATO:0000117	size			
OBA:0000112	myofibril number	GO:0030016	myofibril	PATO:0000070	amount			
OBA:0000113	myofibril size	GO:0030016	myofibril	PATO:0000117	size			
OBA:0000117	nuclear size	GO:0005634	nucleus	PATO:0000117	size			
OBA:0000119	nucleosome density	GO:0000786	nucleosome	PATO:0000070	amount			
OBA:0000122	peroxisome size	GO:0005777	peroxisome	PATO:0000117	size			
OBA:0000124	post-lysosomal vacuole size	GO:0032195	post-lysosomal vacuole	PATO:0000117	size			
