defined_class	defined_class_name	entity	entity_name	attribute	attribute_name
OBA:VT0000074	neurocranium morphology trait	UBERON:0001703	neurocranium	PATO:0000051	morphology
OBA:1000011	Golgi apparatus morphology	GO:0005794	Golgi apparatus	PATO:0000051	morphology
OBA:1000013	cytoskeleton morphology	GO:0005856	cytoskeleton	PATO:0000051	morphology
OBA:1000014	endomembrane system morphology	GO:0012505	endomembrane system	PATO:0000051	morphology
OBA:1000015	lipid particle morphology	GO:0005811	lipid particle	PATO:0000051	morphology
OBA:1000016	mating projection morphology	GO:0005937	mating projection	PATO:0000051	morphology
OBA:1000019	nucleus morphology	GO:0005634	nucleus	PATO:0000051	morphology
OBA:1000026	intervertebral disk of lumbar vertebra morphology	UBERON:0007255	intervertebral disk of lumbar vertebra	PATO:0000051	morphology
OBA:1000065	dermal bone morphology	UBERON:0008907	dermal bone	PATO:0000051	morphology
OBA:1000066	endochondral bone morphology	UBERON:0002513	endochondral bone	PATO:0000051	morphology
OBA:1000087	cell surface morphology	GO:0009986	cell surface	PATO:0000051	morphology
OBA:1000089	plasma membrane morphology	GO:0005886	plasma membrane	PATO:0000051	morphology
OBA:1000091	membrane morphology	GO:0016020	membrane	PATO:0000051	morphology
OBA:VT0000000	mammary gland secreted fluid morphology trait	UBERON:0006539	mammary gland fluid/secretion	PATO:0000051	morphology
OBA:VT0000003	adipose morphology trait	UBERON:0001013	adipose tissue	PATO:0000051	morphology
OBA:VT0000010	abdominal fat pad morphology trait	UBERON:0003427	abdominal fat pad	PATO:0000051	morphology
OBA:VT0000018	ventricle membranous septum morphology trait	UBERON:0004666	interventricular septum membranous part	PATO:0000051	morphology
OBA:VT0000019	right atrium morphology trait	UBERON:0002078	right cardiac atrium	PATO:0000051	morphology
OBA:VT0000020	left atrium morphology trait	UBERON:0002079	left cardiac atrium	PATO:0000051	morphology
OBA:VT0000024	atrium appendage morphology trait	UBERON:0006618	atrium auricular region	PATO:0000051	morphology
OBA:VT0000025	atrioventricular valve morphology trait	UBERON:0002133	atrioventricular valve	PATO:0000051	morphology
OBA:VT0000026	inner ear morphology trait	UBERON:0001846	internal ear	PATO:0000051	morphology
OBA:VT0000028	pars superior vestibularis morphology trait	UBERON:0002825	superior part of vestibular ganglion	PATO:0000051	morphology
OBA:VT0000029	malleus morphology trait	UBERON:0001689	malleus bone	PATO:0000051	morphology
OBA:VT0000030	tympanic ring morphology trait	UBERON:0002218	tympanic ring	PATO:0000051	morphology
OBA:VT0000031	cochlea morphology trait	UBERON:0001844	cochlea	PATO:0000051	morphology
OBA:VT0000033	mitral valve morphology trait	UBERON:0002135	mitral valve	PATO:0000051	morphology
OBA:VT0000034	vestibule morphology trait	UBERON:0001349	vestibule	PATO:0000051	morphology
OBA:VT0000035	membranous labyrinth morphology trait	UBERON:0001849	membranous labyrinth	PATO:0000051	morphology
OBA:VT0000036	tricuspid valve morphology trait	UBERON:0002134	tricuspid valve	PATO:0000051	morphology
OBA:VT0000037	lateral semicircular canal morphology trait	UBERON:0001843	lateral semicircular canal	PATO:0000051	morphology
OBA:VT0000039	otic capsule morphology trait	UBERON:0004637	otic capsule	PATO:0000051	morphology
OBA:VT0000040	aortic valve morphology trait	UBERON:0002137	aortic valve	PATO:0000051	morphology
OBA:VT0000042	organ of Corti morphology trait	UBERON:0002227	spiral organ of cochlea	PATO:0000051	morphology
OBA:VT0000044	pulmonary valve morphology trait	UBERON:0002146	pulmonary valve	PATO:0000051	morphology
OBA:VT0000045	hair cell morphology trait	CL:0000855	sensory hair cell	PATO:0000051	morphology
OBA:VT0000046	sulcus ampullaris morphology trait	UBERON:0009038	sulcus ampullaris	PATO:0000051	morphology
OBA:VT0000048	stria vascularis morphology trait	UBERON:0002282	stria vascularis of cochlear duct	PATO:0000051	morphology
OBA:VT0000049	middle ear morphology trait	UBERON:0001756	middle ear	PATO:0000051	morphology
OBA:VT0000058	heart muscle compact layer morphology trait	UBERON:0004125	myocardial compact layer	PATO:0000051	morphology
OBA:VT0000061	cardiomyocyte morphology trait	CL:0000746	cardiac muscle cell	PATO:0000051	morphology
OBA:VT0000062	heart muscle trabeculae morphology trait	UBERON:0004124	myocardium trabecular layer	PATO:0000051	morphology
OBA:VT0000063	ventricle papillary muscle morphology trait	UBERON:0002494	papillary muscle of heart	PATO:0000051	morphology
OBA:VT0000065	medullary cavity morphology trait	UBERON:0002484	bone marrow cavity	PATO:0000051	morphology
OBA:VT0000075	blood-brain barrier morphology trait	UBERON:0000120	blood brain barrier	PATO:0000051	morphology
OBA:VT0000076	calvaria morphology trait	UBERON:0004339	vault of skull	PATO:0000051	morphology
OBA:VT0000077	interparietal bone morphology trait	UBERON:0002229	interparietal bone	PATO:0000051	morphology
OBA:VT0000078	supraoccipital bone morphology trait	UBERON:0004747	supraoccipital bone	PATO:0000051	morphology
OBA:VT0000079	basilar bone morphology trait	UBERON:0001692	basioccipital bone	PATO:0000051	morphology
