iri,iri label,attribute,attribute label,entity,entity label
OBA:0100001,cellular component attribute,PATO:0000001,quality,GO:0005575,cellular_component
OBA:0100002,biological process attribute,PATO:0000001,quality,GO:0008150,biological_process
OBA:0100003,anatomical entity attribute,PATO:0000001,quality,UBERON:0001062,anatomical entity
OBA:0100004,chemical entity attribute,PATO:0000001,quality,CHEBI:24431,chemical entity
OBA:0100005,protein attribute,PATO:0000001,quality,PR:000000001,protein
OBA:0000006,Malpighian tubule diameter,PATO:0001334,diameter,UBERON:0001054,Malpighian tubule
OBA:0000007,Malpighian tubule size,PATO:0000117,size,UBERON:0001054,Malpighian tubule
OBA:0000011,actin filament length,PATO:0000122,length,GO:0005884,actin filament
OBA:0000015,anatomical structure size,PATO:0000117,size,UBERON:0000061,anatomical structure
OBA:0000022,autophagic vacuole size,PATO:0000117,size,GO:0005776,autophagosome
OBA:0000023,axon diameter,PATO:0001334,diameter,GO:0030424,axon
OBA:0000032,blood vessel size,PATO:0000117,size,UBERON:0001981,blood vessel
OBA:0000040,calcium ion concentration,PATO:0000033,concentration of,CHEBI:39124,calcium ion
OBA:0000048,cell diameter,PATO:0001334,diameter,GO:0005623,cell
OBA:0000051,cell projection size,PATO:0000117,size,GO:0042995,cell projection
OBA:0000052,cell shape,PATO:0000052,shape,GO:0005623,cell
OBA:0000055,cell size,PATO:0000117,size,GO:0005623,cell
OBA:0000056,cell volume,PATO:0000918,volume,GO:0005623,cell
OBA:0000057,cellular component size,PATO:0000117,size,GO:0005575,cellular_component
OBA:0000060,cilium beat frequency,PATO:0000044,frequency,GO:0003341,cilium movement
OBA:0000061,circulating fibrinogen levels,PATO:0000070,amount,GO:0005577,fibrinogen complex
OBA:0000066,direction of cell growth,PATO:0000039,direction,GO:0016049,cell growth
OBA:0000067,embryonic cell shape,PATO:0000052,shape,CL:0002321,embryonic cell
OBA:0000068,endosome size,PATO:0000117,size,GO:0005768,endosome
OBA:0000074,heart contraction rate,PATO:0000161,rate,GO:0060047,heart contraction
OBA:0000079,hormone levels,PATO:0000070,amount,CHEBI:24621,hormone
OBA:0000084,imaginal disc-derived wing size,PATO:0000117,size,UBERON:0000984,imaginal disc-derived wing
OBA:0000088,liquid surface tension,PATO:0001461,surface tension,PATO:0001735,liquid configuration
OBA:0000092,lysosomal membrane permeability,PATO:0000970,permeability,GO:0005765,lysosomal membrane
OBA:0000099,membrane potential,PATO:0001464,electric potential,GO:0016020,membrane
OBA:0000101,metanephric kidney size,PATO:0000117,size,UBERON:0000081,metanephros
OBA:0000102,microvillus length,PATO:0000122,length,GO:0005902,microvillus
OBA:0000104,mitochondrial membrane permeability,PATO:0000970,permeability,GO:0031966,mitochondrial membrane
OBA:0000107,multivesicular body size,PATO:0000117,size,GO:0005771,multivesicular body
