iri	iri label	entity	entity label	attribute	attribute label
OBA:0100001	cellular component attribute	GO:0005575	cellular_component	PATO:0000001	quality
OBA:0100002	biological process attribute	GO:0008150	biological_process	PATO:0000001	quality
OBA:0100003	anatomical entity attribute	UBERON:0001062	anatomical entity	PATO:0000001	quality
OBA:0100004	chemical entity attribute	CHEBI:24431	chemical entity	PATO:0000001	quality
OBA:0100005	protein attribute	PR:000000001	protein	PATO:0000001	quality
OBA:0000006	Malpighian tubule diameter	UBERON:0001054	Malpighian tubule	PATO:0001334	diameter
OBA:0000007	Malpighian tubule size	UBERON:0001054	Malpighian tubule	PATO:0000117	size
OBA:0000011	actin filament length	GO:0005884	actin filament	PATO:0000122	length
OBA:0000015	anatomical structure size	UBERON:0000061	anatomical structure	PATO:0000117	size
OBA:0000022	autophagic vacuole size	GO:0005776	autophagosome	PATO:0000117	size
OBA:0000023	axon diameter	GO:0030424	axon	PATO:0001334	diameter
OBA:0000032	blood vessel size	UBERON:0001981	blood vessel	PATO:0000117	size
OBA:0000040	calcium ion concentration	CHEBI:39124	calcium ion	PATO:0000033	concentration of
OBA:0000048	cell diameter	GO:0005623	cell	PATO:0001334	diameter
OBA:0000051	cell projection size	GO:0042995	cell projection	PATO:0000117	size
OBA:0000052	cell shape	GO:0005623	cell	PATO:0000052	shape
OBA:0000055	cell size	GO:0005623	cell	PATO:0000117	size
OBA:0000056	cell volume	GO:0005623	cell	PATO:0000918	volume
OBA:0000057	cellular component size	GO:0005575	cellular_component	PATO:0000117	size
OBA:0000060	cilium beat frequency	GO:0003341	cilium movement	PATO:0000044	frequency
OBA:0000061	circulating fibrinogen levels	GO:0005577	fibrinogen complex	PATO:0000070	amount
OBA:0000066	direction of cell growth	GO:0016049	cell growth	PATO:0000039	direction
OBA:0000067	embryonic cell shape	CL:0002321	embryonic cell	PATO:0000052	shape
OBA:0000068	endosome size	GO:0005768	endosome	PATO:0000117	size
OBA:0000074	heart contraction rate	GO:0060047	heart contraction	PATO:0000161	rate
OBA:0000079	hormone levels	CHEBI:24621	hormone	PATO:0000070	amount
OBA:0000084	imaginal disc-derived wing size	UBERON:0000984	imaginal disc-derived wing	PATO:0000117	size
OBA:0000088	liquid surface tension	PATO:0001735	liquid configuration	PATO:0001461	surface tension
OBA:0000092	lysosomal membrane permeability	GO:0005765	lysosomal membrane	PATO:0000970	permeability
OBA:0000099	membrane potential	GO:0016020	membrane	PATO:0001464	electric potential
OBA:0000101	metanephric kidney size	UBERON:0000081	metanephros	PATO:0000117	size
