"OBA"	"RELATIONSHIP"	"VT"	"LABEL"
"OBA:VT0000000"	"skos:exactMatch"	"VT:0000000"	"mammary gland secreted fluid morphology trait"
"OBA:VT0000002"	"skos:exactMatch"	"VT:0000002"	"head size trait"
"OBA:VT0000003"	"skos:exactMatch"	"VT:0000003"	"adipose morphology trait"
"OBA:VT0000005"	"skos:exactMatch"	"VT:0000005"	"right atrium size trait"
"OBA:VT0000006"	"skos:exactMatch"	"VT:0000006"	"esophagus size trait"
"OBA:VT0000010"	"skos:exactMatch"	"VT:0000010"	"abdominal fat pad morphology trait"
"OBA:VT0000012"	"skos:exactMatch"	"VT:0000012"	"left atrium size trait"
"OBA:VT0000013"	"skos:exactMatch"	"VT:0000013"	"adipose distribution trait"
"OBA:VT0000017"	"skos:exactMatch"	"VT:0000017"	"outer ear size trait"
"OBA:VT0000018"	"skos:exactMatch"	"VT:0000018"	"ventricle membranous septum morphology trait"
"OBA:VT0000019"	"skos:exactMatch"	"VT:0000019"	"right atrium morphology trait"
"OBA:VT0000020"	"skos:exactMatch"	"VT:0000020"	"left atrium morphology trait"
"OBA:VT0000022"	"skos:exactMatch"	"VT:0000022"	"outer ear shape trait"
"OBA:VT0000024"	"skos:exactMatch"	"VT:0000024"	"atrium appendage morphology trait"
"OBA:VT0000025"	"skos:exactMatch"	"VT:0000025"	"atrioventricular valve morphology trait"
"OBA:VT0000026"	"skos:exactMatch"	"VT:0000026"	"inner ear morphology trait"
"OBA:VT0000027"	"skos:exactMatch"	"VT:0000027"	"head width"
"OBA:VT0000028"	"skos:exactMatch"	"VT:0000028"	"pars superior vestibularis morphology trait"
"OBA:VT0000029"	"skos:exactMatch"	"VT:0000029"	"malleus morphology trait"
"OBA:VT0000030"	"skos:exactMatch"	"VT:0000030"	"tympanic ring morphology trait"
"OBA:VT0000031"	"skos:exactMatch"	"VT:0000031"	"cochlea morphology trait"
"OBA:VT0000033"	"skos:exactMatch"	"VT:0000033"	"mitral valve morphology trait"
"OBA:VT0000034"	"skos:exactMatch"	"VT:0000034"	"vestibule morphology trait"
"OBA:VT0000035"	"skos:exactMatch"	"VT:0000035"	"membranous labyrinth morphology trait"
"OBA:VT0000036"	"skos:exactMatch"	"VT:0000036"	"tricuspid valve morphology trait"
"OBA:VT0000037"	"skos:exactMatch"	"VT:0000037"	"lateral semicircular canal morphology trait"
"OBA:VT0000038"	"skos:exactMatch"	"VT:0000038"	"head length"
"OBA:VT0000039"	"skos:exactMatch"	"VT:0000039"	"otic capsule morphology trait"
"OBA:VT0000040"	"skos:exactMatch"	"VT:0000040"	"aortic valve morphology trait"
"OBA:VT0000041"	"skos:exactMatch"	"VT:0000041"	"endolymphatic duct size trait"
"OBA:VT0000042"	"skos:exactMatch"	"VT:0000042"	"organ of Corti morphology trait"
"OBA:VT0000044"	"skos:exactMatch"	"VT:0000044"	"pulmonary valve morphology trait"
"OBA:VT0000046"	"skos:exactMatch"	"VT:0000046"	"sulcus ampullaris morphology trait"
"OBA:VT0000047"	"skos:exactMatch"	"VT:0000047"	"head circumference"
"OBA:VT0000048"	"skos:exactMatch"	"VT:0000048"	"stria vascularis morphology trait"
"OBA:VT0000049"	"skos:exactMatch"	"VT:0000049"	"middle ear morphology trait"
"OBA:VT0000051"	"skos:exactMatch"	"VT:0000051"	"testes physiology trait"
"OBA:VT0000056"	"skos:exactMatch"	"VT:0000056"	"urine trait"
"OBA:VT0000057"	"skos:exactMatch"	"VT:0000057"	"ossification trait"
"OBA:VT0000058"	"skos:exactMatch"	"VT:0000058"	"heart muscle compact layer morphology trait"
"OBA:VT0000059"	"skos:exactMatch"	"VT:0000059"	"osteoclast development trait"
"OBA:VT0000062"	"skos:exactMatch"	"VT:0000062"	"heart muscle trabeculae morphology trait"
"OBA:VT0000063"	"skos:exactMatch"	"VT:0000063"	"ventricle papillary muscle morphology trait"
"OBA:VT0000065"	"skos:exactMatch"	"VT:0000065"	"medullary cavity morphology trait"
"OBA:VT0000067"	"skos:exactMatch"	"VT:0000067"	"blood morphology"
"OBA:VT0000068"	"skos:exactMatch"	"VT:0000068"	"blood mineral amount"
"OBA:VT0000069"	"skos:exactMatch"	"VT:0000069"	"embryo trait"
"OBA:VT0000072"	"skos:exactMatch"	"VT:0000072"	"bone elasticity trait"
"OBA:VT0000074"	"skos:exactMatch"	"VT:0000074"	"neurocranium morphology trait"
"OBA:VT0000075"	"skos:exactMatch"	"VT:0000075"	"blood-brain barrier morphology trait"
"OBA:VT0000076"	"skos:exactMatch"	"VT:0000076"	"calvaria morphology trait"
"OBA:VT0000077"	"skos:exactMatch"	"VT:0000077"	"interparietal bone morphology trait"
"OBA:VT0000078"	"skos:exactMatch"	"VT:0000078"	"supraoccipital bone morphology trait"
"OBA:VT0000079"	"skos:exactMatch"	"VT:0000079"	"basilar bone morphology trait"
"OBA:VT0000080"	"skos:exactMatch"	"VT:0000080"	"exoccipital bone morphology trait"
"OBA:VT0000084"	"skos:exactMatch"	"VT:0000084"	"fontanelle morphology trait"
"OBA:VT0000085"	"skos:exactMatch"	"VT:0000085"	"blood-cerebrospinal fluid barrier morphology trait"
"OBA:VT0000087"	"skos:exactMatch"	"VT:0000087"	"capillary morphology trait"
"OBA:VT0000098"	"skos:exactMatch"	"VT:0000098"	"vomer bone morphology trait"
"OBA:VT0000100"	"skos:exactMatch"	"VT:0000100"	"ethmoid bone morphology trait"
"OBA:VT0000102"	"skos:exactMatch"	"VT:0000102"	"nasal bone morphology trait"
"OBA:VT0000104"	"skos:exactMatch"	"VT:0000104"	"sphenoid bone morphology trait"
"OBA:VT0000106"	"skos:exactMatch"	"VT:0000106"	"basisphenoid morphology trait"
"OBA:VT0000107"	"skos:exactMatch"	"VT:0000107"	"frontal bone morphology trait"
"OBA:VT0000109"	"skos:exactMatch"	"VT:0000109"	"parietal bone morphology trait"
"OBA:VT0000116"	"skos:exactMatch"	"VT:0000116"	"tooth development trait"
"OBA:VT0000119"	"skos:exactMatch"	"VT:0000119"	"tooth eruption trait"
"OBA:VT0000122"	"skos:exactMatch"	"VT:0000122"	"blood vessel development trait"
"OBA:VT0000124"	"skos:exactMatch"	"VT:0000124"	"tooth quantity"
"OBA:VT0000125"	"skos:exactMatch"	"VT:0000125"	"heart tube morphology trait"
"OBA:VT0000126"	"skos:exactMatch"	"VT:0000126"	"tooth strength trait"
"OBA:VT0000130"	"skos:exactMatch"	"VT:0000130"	"cancellous bone morphology trait"
"OBA:VT0000131"	"skos:exactMatch"	"VT:0000131"	"long bone epiphysis morphology trait"
"OBA:VT0000132"	"skos:exactMatch"	"VT:0000132"	"epiphysis width"
"OBA:VT0000133"	"skos:exactMatch"	"VT:0000133"	"long bone metaphysis morphology trait"
"OBA:VT0000134"	"skos:exactMatch"	"VT:0000134"	"compact bone thickness"
"OBA:VT0000135"	"skos:exactMatch"	"VT:0000135"	"outflow tract morphology trait"
"OBA:VT0000137"	"skos:exactMatch"	"VT:0000137"	"vertebra morphology trait"
"OBA:VT0000138"	"skos:exactMatch"	"VT:0000138"	"vertebra quantity"
"OBA:VT0000139"	"skos:exactMatch"	"VT:0000139"	"transverse process morphology trait"
"OBA:VT0000140"	"skos:exactMatch"	"VT:0000140"	"pedicle morphology trait"
"OBA:VT0000141"	"skos:exactMatch"	"VT:0000141"	"vertebral body morphology trait"
"OBA:VT0000142"	"skos:exactMatch"	"VT:0000142"	"outer ear thickness"
"OBA:VT0000149"	"skos:exactMatch"	"VT:0000149"	"scapula morphology trait"
"OBA:VT0000150"	"skos:exactMatch"	"VT:0000150"	"rib morphology trait"
"OBA:VT0000152"	"skos:exactMatch"	"VT:0000152"	"proximal rib morphology trait"
"OBA:VT0000157"	"skos:exactMatch"	"VT:0000157"	"sternum morphology trait"
"OBA:VT0000159"	"skos:exactMatch"	"VT:0000159"	"xiphoid process morphology trait"
"OBA:VT0000163"	"skos:exactMatch"	"VT:0000163"	"cartilage morphology trait"
