defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label	term
http://purl.obolibrary.org/obo/MP_0005566	decreased blood urea nitrogen level	http://purl.obolibrary.org/obo/CHEBI_16199	urea	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005566
http://purl.obolibrary.org/obo/MP_0008822	decreased blood uric acid level	http://purl.obolibrary.org/obo/CHEBI_27226	uric acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0008822
http://purl.obolibrary.org/obo/MP_0000186	decreased circulating HDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47775	high-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000186
http://purl.obolibrary.org/obo/MP_0000183	decreased circulating LDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47774	low-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000183
http://purl.obolibrary.org/obo/MP_0002966	decreased circulating alkaline phosphatase level	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002966
http://purl.obolibrary.org/obo/MP_0005635	decreased circulating bilirubin level	http://purl.obolibrary.org/obo/CHEBI_16990	bilirubin IXalpha	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005635
http://purl.obolibrary.org/obo/MP_0000195	decreased circulating calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000195
http://purl.obolibrary.org/obo/MP_0003020	decreased circulating chloride level	http://purl.obolibrary.org/obo/CHEBI_17996	chloride	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0003020
http://purl.obolibrary.org/obo/MP_0005179	decreased circulating cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005179
http://purl.obolibrary.org/obo/MP_0005554	decreased circulating creatinine level	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005554
http://purl.obolibrary.org/obo/MP_0002702	decreased circulating free fatty acids level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002702
http://purl.obolibrary.org/obo/MP_0010088	decreased circulating fructosamine level	http://purl.obolibrary.org/obo/CHEBI_24103	fructosamine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0010088
http://purl.obolibrary.org/obo/MP_0005560	decreased circulating glucose level	http://purl.obolibrary.org/obo/CHEBI_17234	glucose	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005560
http://purl.obolibrary.org/obo/MP_0003442	decreased circulating glycerol level	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0003442
http://purl.obolibrary.org/obo/MP_0002727	decreased circulating insulin level	http://purl.obolibrary.org/obo/PR_000009054	insulin gene translation product	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002727
http://purl.obolibrary.org/obo/MP_0004151	decreased circulating iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0004151
http://purl.obolibrary.org/obo/MP_0010093	decreased circulating magnesium level	http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0010093
http://purl.obolibrary.org/obo/MP_0005628	decreased circulating potassium level	http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005628
http://purl.obolibrary.org/obo/MP_0005634	decreased circulating sodium level	http://purl.obolibrary.org/obo/CHEBI_26708	sodium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005634
http://purl.obolibrary.org/obo/MP_0005478	decreased circulating thyroxine level	http://purl.obolibrary.org/obo/CHEBI_30660	thyroxine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005478
http://purl.obolibrary.org/obo/MP_0005567	decreased circulating total protein level	http://purl.obolibrary.org/obo/CHEBI_16541	protein polypeptide chain	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005567
http://purl.obolibrary.org/obo/MP_0002644	decreased circulating triglyceride level	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002644
http://purl.obolibrary.org/obo/MP_0002874	decreased hemoglobin content	http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002874
http://purl.obolibrary.org/obo/MP_0005562	decreased mean corpuscular hemoglobin	http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin	http://purl.obolibrary.org/obo/CL_0000595	enucleate erythrocyte	MP_0005562
http://purl.obolibrary.org/obo/MP_0011471	decreased urine creatinine level	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0011471
http://purl.obolibrary.org/obo/MP_0003870	decreased urine glucose level	http://purl.obolibrary.org/obo/CHEBI_17234	glucose	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0003870
http://purl.obolibrary.org/obo/MP_0011436	decreased urine magnesium level	http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0011436
