id	predicate	value
EFO:0010138	rdfs:label	nitrite measurement
EFO:0020165	rdfs:label	AT-rich interactive domain-containing protein 3A measurement
EFO:0008214	rdfs:label	lymphotactin measurement
EFO:0010773	rdfs:label	CD5 measurement
EFO:0010067	rdfs:label	corneal resistance factor
EFO:0021281	rdfs:label	X-12040 measurement
EFO:0010516	rdfs:label	orotic acid measurement@en
EFO:0020716	rdfs:label	scavenger receptor class F member 2 measurement
EFO:0021024	rdfs:label	levulinate 4-oxovalerate measurement
EFO:0010626	rdfs:label	placenta growth factor measurement@en
EFO:0020826	rdfs:label	tyrosine-protein kinase LCK measurement
EFO:0009340	rdfs:label	Varicella zoster virus seropositivity
EFO:0020340	rdfs:label	e3 ubiquitin-protein ligase mdm2 measurement
EFO:0006319	rdfs:label	HIV viral set point measurement
EFO:0004619	rdfs:label	factor VII measurement
EFO:0008117	rdfs:label	elafin measurement
EFO:0008321	rdfs:label	WNT1-inducible-signaling pathway protein 1 measurement
EFO:0005059	rdfs:label	acylcarnitine measurement
EFO:0021128	rdfs:label	cycloleu-pro measurement
EFO:0020870	rdfs:label	choline change measurement
EFO:0010478	rdfs:label	fructose-1-phosphate measurement@en
EFO:0009348	rdfs:label	Anti-Epstein-Barr virus early antigen IgG measurement
EFO:0021206	rdfs:label	X-08766 measurement
EFO:0008061	rdfs:label	calcineurin measurement
EFO:0009815	rdfs:label	CASCOT confidence score measurement
EFO:0020158	rdfs:label	apolipoprotein E (isoform E4) measurement
EFO:0010994	rdfs:label	n-methyl-2-pyridone-5-carboxamide measurement
EFO:0010588	rdfs:label	matrix metalloproteinase 1 measurement@en
EFO:0021260	rdfs:label	X-11793--oxidized bilirubin measurement
EFO:0009243	rdfs:label	Myeloid to Erythroid Ratio Measurement
EFO:0008319	rdfs:label	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 measurement
EFO:0021316	rdfs:label	X-12556 measurement
EFO:0020536	rdfs:label	ligand-dependent nuclear receptor corepressor-like protein measurement
EFO:0004467	rdfs:label	insulin measurement
EFO:0021370	rdfs:label	X-14473 measurement
EFO:0008069	rdfs:label	carboxypeptidase B2 measurement
EFO:0008273	rdfs:label	repulsive guidance molecule A measurement
EFO:0007660	rdfs:label	neuroticism measurement
EFO:0020590	rdfs:label	netrin receptor UNC5C measurement
EFO:0020819	rdfs:label	tyrosine-protein kinase BTK measurement
EFO:0007649	rdfs:label	renal elimination rate measurement
EFO:0020646	rdfs:label	platelet-activating factor acetylhydrolase ib subunit beta measurement
EFO:0010431	rdfs:label	triacylglycerol 56:4 measurement@en
EFO:0008179	rdfs:label	interleukin 18 receptor accessory protein measurement
EFO:0009777	rdfs:label	citrulline measurement
EFO:0021010	rdfs:label	3-phenylpropionate hydrocinnamate measurement
EFO:0005935	rdfs:label	overweight body mass index status
EFO:0020111	rdfs:label	15-hydroxyprostaglandin dehydrogenase [NAD(+)] measurement
EFO:0010541	rdfs:label	trimethylamine-N-oxide measurement@en
EFO:0004725	rdfs:label	metabolite measurement
EFO:0010834	rdfs:label	tumor necrosis factor measurement@en
EFO:0020221	rdfs:label	calreticulin measurement
EFO:0004781	rdfs:label	DSM-IV-based  non-social scale
EFO:0021273	rdfs:label	X-11859 measurement
EFO:0009222	rdfs:label	Hemoglobin O-Arab to Total Hemoglobin Ratio Measurement
EFO:0005602	rdfs:label	age at alcohol diagnosis
EFO:0021309	rdfs:label	X-12443 measurement
EFO:0010345	rdfs:label	cholesteryl ester 18:2 measurement@en
EFO:0008164	rdfs:label	intercellular adhesion molecule 5 measurement
EFO:0009762	rdfs:label	healthspan
EFO:0020285	rdfs:label	connective tissue-activating peptide III measurement
EFO:0010359	rdfs:label	lysophosphatidylcholine 18:0 measurement@en
EFO:0009332	rdfs:label	executive function measurement
EFO:0020356	rdfs:label	ephrin-A4 measurement
EFO:0008435	rdfs:label	gestational weight gain measurement
EFO:0021419	rdfs:label	myristate 14:0-to-myristoleate 14:1n5 ratio
EFO:0008093	rdfs:label	complement component C7 measurement
EFO:0004328	rdfs:label	exercise test
EFO:0020701	rdfs:label	receptor tyrosine-protein kinase erbb-3 measurement
EFO:0020395	rdfs:label	fractalkine measurement
EFO:0020639	rdfs:label	phosphoglycerate mutase 1 measurement
EFO:0008234	rdfs:label	MHC class I polypeptide-related sequence B measurement
EFO:0020466	rdfs:label	immunoglobulin M measurement
EFO:0008330	rdfs:label	fear of pain measurement
EFO:0021169	rdfs:label	stachydrine measurement
EFO:0021003	rdfs:label	4-acetamidobutanoate measurement
EFO:0010791	rdfs:label	neurotrophin-3 measurement
EFO:0020561	rdfs:label	matrix metalloproteinase-9 measurement
EFO:0010409	rdfs:label	triacylglycerol 50:2 measurement@en
EFO:0008002	rdfs:label	physical activity measurement
EFO:0021113	rdfs:label	4-androsten-3beta,17beta-diol disulfate 1 measurement
EFO:0020499	rdfs:label	interleukin-22 receptor subunit alpha-1 measurement
EFO:0008338	rdfs:label	fear of severe pain measurement
EFO:0021093	rdfs:label	1-stearoylglycerophosphoethanolamine measurement
EFO:0010463	rdfs:label	asymmetric dimethylarginine measurement@en
EFO:0020298	rdfs:label	cyclin-dependent kinase inhibitor 1b measurement
EFO:0007942	rdfs:label	hip osteoarthritis symptom severity measurement
EFO:0006870	rdfs:label	alpha wave measurement
EFO:0010241	rdfs:label	galectin-3-binding protein measurement@en
EFO:0021376	rdfs:label	X-14658 measurement
EFO:0004627	rdfs:label	IGF-1 measurement
EFO:0007746	rdfs:label	white matter lesion progression measurement
EFO:0021224	rdfs:label	X-11317 measurement
EFO:0021051	rdfs:label	isovalerate measurement
EFO:0010557	rdfs:label	lactose tolerance test@en
EFO:0008150	rdfs:label	heparin cofactor 2 measurement
EFO:0020271	rdfs:label	collagenase 3 measurement
EFO:0020223	rdfs:label	cAMP-regulated phosphoprotein 19 measurement
EFO:0020452	rdfs:label	histone acetyltransferase type b catalytic subunit measurement
EFO:0007785	rdfs:label	femoral neck bone mineral density
EFO:0005092	rdfs:label	entorhinal cortical volume
EFO:0020237	rdfs:label	casein kinase II 2-alpha':2-beta heterotetramer measurement
EFO:0007856	rdfs:label	facial height measurement
EFO:0007881	rdfs:label	job-related exhaustion measurement
EFO:0021334	rdfs:label	X-12786 measurement
EFO:0021405	rdfs:label	X-11444-to-X-12844 ratio
