subject_id	subject_label	subject_category	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id
19153-6	Volume in Urine collected for unspecified duration		skos:exactMatch	OBA:0000173	urinary volume	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
28009-9	Volume of Urine		skos:exactMatch	OBA:0000173	urinary volume	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
31111-8	Reticulocyte production index		skos:broadMatch	OBA:0002272	reticulocyte amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2714-4	Fractional oxyhemoglobin in Arterial blood		skos:relatedMatch	OBA:0002293	respiratory gaseous exchange by respiratory system amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
11559-2	Fractional oxyhemoglobin in Blood		skos:relatedMatch	OBA:0002293	respiratory gaseous exchange by respiratory system amount	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
48795-9	Fibrosis score		skos:exactMatch	OBA:0002614	liver degeneration	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
48794-2	Fibrosis stage		skos:exactMatch	OBA:0002614	liver degeneration	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
87430-5	Cystatin C and Glomerular filtration rate by Cystatin-based formula panel - Serum or Plasma		skos:exactMatch	OBA:0003747	glomerular filtration rate	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2164-2	Creatinine renal clearance in 24 hour Urine and Serum or Plasma		skos:exactMatch	OBA:0004158	renal filtration rate	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2756-5	pH of Urine		skos:exactMatch	OBA:0004692	urine acidity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
5803-2	pH of Urine by Test strip		skos:exactMatch	OBA:0004692	urine acidity	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
19991-9	Alveolar-arterial oxygen Partial pressure difference		skos:broadMatch	OBA:1000805	respiratory gaseous exchange by respiratory system quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
76274-0	Ventilation-perfusion index Respiratory system		skos:broadMatch	OBA:1000805	respiratory gaseous exchange by respiratory system quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
1757-4	Albumin renal clearance in 24 hour Urine and Serum or Plasma		skos:exactMatch	OBA:1000854	renal filtration quality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
2693-0	Osmolality of Stool		skos:exactMatch	OBA:1001084	feces osmolality	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
73561-3	Insulin-like growth factor-I [Z-score] in Serum or Plasma		skos:exactMatch	OBA:2042067	level of insulin-like growth factor I in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
72203-3	Parathyrin.intact intraoperative panel - Serum or Plasma		skos:exactMatch	OBA:2043094	level of parathyroid hormone in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
20657-3	Taurine [Moles/volume] in Serum or Plasma		skos:exactMatch	OBA:2045209	level of taurine in blood serum	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
30341-2	Erythrocyte sedimentation rate		skos:exactMatch	OBA:2045235	blood sedimentation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
4537-7	Erythrocyte sedimentation rate by Westergren method		skos:exactMatch	OBA:2045235	blood sedimentation trait	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
50562-8	Specific gravity of Urine by Refractometry automated		skos:exactMatch	OBA:2045259	urine relative density	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
5811-5	Specific gravity of Urine by Test strip		skos:exactMatch	OBA:2045259	urine relative density	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
18047-1	Left ventricular Ejection fraction by US 2D modified biplane		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
18048-9	Left ventricular Ejection fraction by US 2D modified single-plane		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8634-8	Q-T interval		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
8636-3	Q-T interval corrected		skos:broadMatch	OBA:2045275	heart function attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
4667-2	Osmotic fragility of Red Blood Cells		skos:exactMatch	OBA:2045276	erythrocyte attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
57084-6	Fatty acid oxidation newborn screen panel		skos:exactMatch	OBA:2045289	fatty acid desaturase enzyme activity attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
601-5	Fungus identified in Blood by Culture		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
42805-2	Fungus identified in Specimen		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
580-1	Fungus identified in Specimen by Culture		skos:broadMatch	OBA:2045296	defense response to other organism process attribute	semapv:ManualMappingCuration	LOINC	OBA	1	2024-09-03	orcid:0000-0001-8314-2140
