subject_id	subject_label	mapping_justification	author_id	comment
31208-2	Specimen source identified	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
630-4	Bacteria identified in Urine by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
600-7	Bacteria identified in Blood by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9781-6	Acanthamoeba sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9816-0	Actinomyces sp identified in Specimen by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41273-4	Alpha-1-Fetoprotein interpretation in Amniotic fluid	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41274-2	Alpha-1-Fetoprotein interpretation in Serum or Plasma	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
49246-2	Alpha-1-Fetoprotein interpretation in Serum or Plasma Narrative	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
14618-3	Appearance of Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35359-9	AR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10644-3	Arthropod identified in Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35466-2	AS+PWS gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
68366-4	Bacteria identified in Blood product unit by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
610-6	Bacteria identified in Body fluid by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
17956-4	Bacteria identified in Body fluid by Anaerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
611-4	Bacteria identified in Body fluid by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
606-4	Bacteria identified in Cerebral spinal fluid by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32367-5	Bacteria identified in Isolate by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
634-6	Bacteria identified in Specimen by Aerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
635-3	Bacteria identified in Specimen by Anaerobe culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6463-4	Bacteria identified in Specimen by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
32355-0	Bacteria identified in Specimen by Respiratory culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
623-9	Bacteria identified in Sputum by Cystic fibrosis respiratory culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
625-4	Bacteria identified in Stool by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
626-2	Bacteria identified in Throat by Culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
73836-9	Bacteria.fluoroquinolone resistant identified in Anal by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
29576-6	Bacterial susceptibility panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
57087-9	Biotinidase newborn screening panel	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
94191-4	BRCA1+BRCA2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
6331-3	Campylobacter sp identified in Stool by Organism specific culture	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
38404-0	CFTR gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
72828-7	Chlamydia trachomatis and Neisseria gonorrhoeae DNA panel - Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
62356-1	Chromosome analysis result in ISCN expression	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
59462-2	Clinical biochemist review of results	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
41751-9	COL3A1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
30211-7	Collection duration of Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13363-7	Collection duration of Stool	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
13362-9	Collection duration of Urine	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9796-4	Color of Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
9795-6	Composition in Stone	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
19767-3	Cytologist who read Cyto stain of Cervical or vaginal smear or scraping	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
72852-7	Cytomegalovirus resistance panel by Genotype method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
51968-6	Discrete variation analysis overall interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
75693-2	Fetal sex in Plasma cell-free DNA by Dosage of chromosome specific cell free (cf) DNA	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
36913-2	FMR1 gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
35353-2	FSHD gene targeted mutation analysis in Blood or Tissue by Molecular genetics method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
36908-2	Gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
51969-4	Genetic analysis report	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
53039-4	Genetic disease analysis overall carrier interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
46738-1	Genetic.Disorders newborn screen interpretation	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
21299-3	Gestational age method	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
10671-6	Helminth identified in Specimen	semapv:ManualMappingCuration	orcid:0000-0001-8314-2140	not in scope for OBA
