# curie_map:
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: '2023-12-07'
# mapping_set_id: http://purl.obolibrary.org/obo/oba/mappings/pato_attribute_value.sssom.tsv
# object_source: http://purl.obolibrary.org/obo/pato.owl
# subject_source: http://purl.obolibrary.org/obo/pato.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
PATO:0000303	increased speed	skos:broadMatch	PATO:0000008	semapv:UnspecifiedMatching
PATO:0000304	decreased speed	skos:broadMatch	PATO:0000008	semapv:UnspecifiedMatching
PATO:0000330	irregular spatial pattern	skos:broadMatch	PATO:0000060	semapv:UnspecifiedMatching
PATO:0000374	increased distance	skos:broadMatch	PATO:0000040	semapv:UnspecifiedMatching
PATO:0000375	decreased distance	skos:broadMatch	PATO:0000040	semapv:UnspecifiedMatching
PATO:0000380	increased frequency	skos:broadMatch	PATO:0000044	semapv:UnspecifiedMatching
PATO:0000381	decreased frequency	skos:broadMatch	PATO:0000044	semapv:UnspecifiedMatching
PATO:0000394	mild intensity	skos:broadMatch	PATO:0000049	semapv:UnspecifiedMatching
PATO:0000395	moderate intensity	skos:broadMatch	PATO:0000049	semapv:UnspecifiedMatching
PATO:0000396	severe intensity	skos:broadMatch	PATO:0000049	semapv:UnspecifiedMatching
PATO:0000440	regular spatial pattern	skos:broadMatch	PATO:0000060	semapv:UnspecifiedMatching
PATO:0000470	increased amount	skos:broadMatch	PATO:0000070	semapv:UnspecifiedMatching
PATO:0000498	increased duration	skos:broadMatch	PATO:0001309	semapv:UnspecifiedMatching
PATO:0000499	decreased duration	skos:broadMatch	PATO:0001309	semapv:UnspecifiedMatching
PATO:0000500	advanced phase	skos:broadMatch	PATO:0000083	semapv:UnspecifiedMatching
PATO:0000501	dark phase	skos:broadMatch	PATO:0000083	semapv:UnspecifiedMatching
PATO:0000503	light phase	skos:broadMatch	PATO:0000083	semapv:UnspecifiedMatching
PATO:0000569	decreased height	skos:broadMatch	PATO:0000119	semapv:UnspecifiedMatching
PATO:0000570	increased height	skos:broadMatch	PATO:0000119	semapv:UnspecifiedMatching
PATO:0000573	increased length	skos:broadMatch	PATO:0000122	semapv:UnspecifiedMatching
PATO:0000574	decreased length	skos:broadMatch	PATO:0000122	semapv:UnspecifiedMatching
PATO:0000582	increased weight	skos:broadMatch	PATO:0000128	semapv:UnspecifiedMatching
PATO:0000583	decreased weight	skos:broadMatch	PATO:0000128	semapv:UnspecifiedMatching
PATO:0000586	increased size	skos:broadMatch	PATO:0000117	semapv:UnspecifiedMatching
