predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	object_aliases	subject_start	subject_end	subject_label	subject_source	subject_text_id
None	HGNC:1678	CD4	None	None	None	None	True	None	None		1	31	t-cell surface glycoprotein cd4	None	None
None	HGNC:3395	EPHB4	None	None	None	None	True	None	None		1	24	ephrin type-b receptor 4	None	None
None	HGNC:17635	CD274	None	None	None	None	True	None	None		1	32	programmed cell death 1 ligand 1	None	None
None	HGNC:3694	FGG	None	None	None	None	True	None	None		1	22	fibrinogen gamma chain	None	None
None	HGNC:6718	LTBR	None	None	None	None	True	None	None		1	51	tumor necrosis factor receptor superfamily member 3	None	None
None	HGNC:11929	TNFSF13B	None	None	None	None	True	None	None		1	51	tumor necrosis factor ligand superfamily member 13b	None	None
None	HGNC:16950	STAMBP	None	None	None	None	True	None	None		1	20	stam binding protein	None	None
None	HGNC:11912	TNFRSF14	None	None	None	None	True	None	None		1	52	tumor necrosis factor receptor superfamily member 14	None	None
None	HGNC:714	ARSB	None	None	None	None	True	None	None		1	15	arylsulfatase b	None	None
None	HGNC:12663	VCAM1	None	None	None	None	True	None	None		1	32	vascular cell adhesion protein 1	None	None
None	HGNC:17755	TNFRSF13C	None	None	None	None	True	None	None		1	53	tumor necrosis factor receptor superfamily member 13c	None	None
None	HGNC:11939	TNFSF9	None	None	None	None	True	None	None		1	49	tumor necrosis factor ligand superfamily member 9	None	None
None	HGNC:1939	CHL1	None	None	None	None	True	None	None		1	45	neural cell adhesion molecule l1-like protein	None	None
None	HGNC:9031	PLA2G2A	None	None	None	None	True	None	None		1	37	phospholipase a2, membrane associated	None	None
None	HGNC:24235	CD200R1	None	None	None	None	True	None	None		1	42	cell surface glycoprotein cd200 receptor 1	None	None
None	HGNC:13799	ERP29	None	None	None	None	True	None	None		1	41	endoplasmic reticulum resident protein 29	None	None
None	HGNC:32926	SIGLEC14	None	None	None	None	True	None	None		1	37	sialic acid-binding ig-like lectin 14	None	None
None	HGNC:11924	TNFRSF9	None	None	None	None	True	None	None		1	51	tumor necrosis factor receptor superfamily member 9	None	None
None	HGNC:10876	SIGLEC7	None	None	None	None	True	None	None		1	36	sialic acid-binding ig-like lectin 7	None	None
None	HGNC:19987	EPHA10	None	None	None	None	True	None	None		1	25	ephrin type-a receptor 10	None	None
None	HGNC:9535	PSMA6	None	None	None	None	True	None	None		1	31	proteasome subunit alpha type-6	None	None
None	HGNC:3153	ECM1	None	None	None	None	True	None	None		1	30	extracellular matrix protein 1	None	None
None	FPLX:Fibrinogen	Fibrinogen	None	None	None	None	True	None	None		1	10	fibrinogen	None	None
None	GO:0005577	fibrinogen complex	None	None	None	None	True	None	None		1	10	fibrinogen	None	None
None	HGNC:11927	TNFSF12	None	None	None	None	True	None	None		1	50	tumor necrosis factor ligand superfamily member 12	None	None
None	HGNC:3396	EPHB6	None	None	None	None	True	None	None		1	24	ephrin type-b receptor 6	None	None
None	HGNC:8133	OLR1	None	None	None	None	True	None	None		1	35	lectin-like oxidized ldl receptor 1	None	None
None	HGNC:9565	PSMD7	None	None	None	None	True	None	None		1	46	26s proteasome non-atpase regulatory subunit 7	None	None
None	HGNC:19440	SBDS	None	None	None	None	True	None	None		1	32	ribosome maturation protein sbds	None	None
None	HGNC:1665	SCARB2	None	None	None	None	True	None	None		1	27	lysosome membrane protein 2	None	None
