defined_class	defined_class_label	biological_process	biological_process_label	term
http://purl.obolibrary.org/obo/MP_0005656	decreased aggression	http://purl.obolibrary.org/obo/NBO_0000015	aggressive behavior	MP_0005656
http://purl.obolibrary.org/obo/MP_0001364	decreased anxiety-related response	http://purl.obolibrary.org/obo/NBO_0000092	anxiety-related behavior	MP_0001364
http://purl.obolibrary.org/obo/MP_0003064	decreased coping response	http://purl.obolibrary.org/obo/NBO_0000103	coping behavior	MP_0003064
http://purl.obolibrary.org/obo/MP_0012311	decreased defecation amount	http://purl.obolibrary.org/obo/GO_0030421	defecation	MP_0012311
http://purl.obolibrary.org/obo/MP_0001417	decreased exploration in new environment	http://purl.obolibrary.org/obo/NBO_0000097	response to novel environment	MP_0001417
http://purl.obolibrary.org/obo/MP_0001402	decreased locomotor activity	http://purl.obolibrary.org/obo/NBO_0000013	locomotory behavior	MP_0001402
http://purl.obolibrary.org/obo/MP_0001489	decreased startle reflex	http://purl.obolibrary.org/obo/NBO_0000391	startle reflex	MP_0001489
http://purl.obolibrary.org/obo/MP_0020870	decreased thigmotaxis	http://purl.obolibrary.org/obo/NBO_0000381	thigmotaxis	MP_0020870
http://purl.obolibrary.org/obo/MP_0002757	decreased vertical activity	http://purl.obolibrary.org/obo/NBO_0000448	vertical activity	MP_0002757
http://purl.obolibrary.org/obo/MP_0009455	enhanced cued conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000224	cued conditioning behavior	MP_0009455
http://purl.obolibrary.org/obo/MP_0005498	hyporesponsive to tactile stimuli	http://purl.obolibrary.org/obo/NBO_0000332	touch related behavior	MP_0005498
http://purl.obolibrary.org/obo/MP_0009454	impaired contextual conditioning behavior	http://purl.obolibrary.org/obo/NBO_0000223	contextual conditioning behavior	MP_0009454
http://purl.obolibrary.org/obo/MP_0001405	impaired coordination	http://purl.obolibrary.org/obo/NBO_0000339	motor coordination	MP_0001405
http://purl.obolibrary.org/obo/MP_0006325	impaired hearing	http://purl.obolibrary.org/obo/GO_0007605	sensory perception of sound	MP_0006325
http://purl.obolibrary.org/obo/MP_0006243	impaired pupillary reflex	http://purl.obolibrary.org/obo/NBO_0000412	pupillary light reflex	MP_0006243
http://purl.obolibrary.org/obo/MP_0001523	impaired righting response	http://purl.obolibrary.org/obo/NBO_0000578	righting reflex	MP_0001523
