defined_class	defined_class_label	chemical_entity	chemical_entity_label	location	location_label	term
http://purl.obolibrary.org/obo/MP_0005265	abnormal blood urea nitrogen level	http://purl.obolibrary.org/obo/CHEBI_16199	urea	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005265
http://purl.obolibrary.org/obo/MP_0008820	abnormal blood uric acid level	http://purl.obolibrary.org/obo/CHEBI_27226	uric acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0008820
http://purl.obolibrary.org/obo/MP_0000184	abnormal circulating HDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47775	high-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000184
http://purl.obolibrary.org/obo/MP_0000181	abnormal circulating LDL cholesterol level	http://purl.obolibrary.org/obo/CHEBI_47774	low-density lipoprotein cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000181
http://purl.obolibrary.org/obo/MP_0001573	abnormal circulating alanine transaminase level	http://purl.obolibrary.org/obo/PR_000008208	alanine aminotransferase 1	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001573
http://purl.obolibrary.org/obo/MP_0000202	abnormal circulating alkaline phosphatase level	http://purl.obolibrary.org/obo/PR_000003968	alkaline phosphatase, tissue-nonspecific isozyme	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000202
http://purl.obolibrary.org/obo/MP_0000203	abnormal circulating aspartate transaminase level	http://purl.obolibrary.org/obo/PR_000008153	aspartate aminotransferase, cytoplasmic	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000203
http://purl.obolibrary.org/obo/MP_0001569	abnormal circulating bilirubin level	http://purl.obolibrary.org/obo/CHEBI_16990	bilirubin IXalpha	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001569
http://purl.obolibrary.org/obo/MP_0001562	abnormal circulating calcium level	http://purl.obolibrary.org/obo/CHEBI_22984	calcium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001562
http://purl.obolibrary.org/obo/MP_0003018	abnormal circulating chloride level	http://purl.obolibrary.org/obo/CHEBI_17996	chloride	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0003018
http://purl.obolibrary.org/obo/MP_0000180	abnormal circulating cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000180
http://purl.obolibrary.org/obo/MP_0005328	abnormal circulating creatinine level	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005328
http://purl.obolibrary.org/obo/MP_0001553	abnormal circulating free fatty acids level	http://purl.obolibrary.org/obo/CHEBI_35366	fatty acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001553
http://purl.obolibrary.org/obo/MP_0010086	abnormal circulating fructosamine level	http://purl.obolibrary.org/obo/CHEBI_24103	fructosamine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0010086
http://purl.obolibrary.org/obo/MP_0000188	abnormal circulating glucose level	http://purl.obolibrary.org/obo/CHEBI_17234	glucose	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000188
http://purl.obolibrary.org/obo/MP_0011973	abnormal circulating glycerol level	http://purl.obolibrary.org/obo/CHEBI_17754	glycerol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0011973
http://purl.obolibrary.org/obo/MP_0001560	abnormal circulating insulin level	http://purl.obolibrary.org/obo/PR_000009054	insulin gene translation product	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001560
http://purl.obolibrary.org/obo/MP_0004152	abnormal circulating iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0004152
http://purl.obolibrary.org/obo/MP_0001771	abnormal circulating magnesium level	http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001771
http://purl.obolibrary.org/obo/MP_0001565	abnormal circulating phosphate level	http://purl.obolibrary.org/obo/CHEBI_26020	phosphate	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001565
http://purl.obolibrary.org/obo/MP_0002668	abnormal circulating potassium level	http://purl.obolibrary.org/obo/CHEBI_26216	potassium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0002668
http://purl.obolibrary.org/obo/MP_0000199	abnormal circulating serum albumin level	http://purl.obolibrary.org/obo/PR_000003918	albumin	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0000199
http://purl.obolibrary.org/obo/MP_0001776	abnormal circulating sodium level	http://purl.obolibrary.org/obo/CHEBI_26708	sodium atom	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0001776
http://purl.obolibrary.org/obo/MP_0005475	abnormal circulating thyroxine level	http://purl.obolibrary.org/obo/CHEBI_30660	thyroxine	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005475
http://purl.obolibrary.org/obo/MP_0011969	abnormal circulating triglyceride level	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0011969
http://purl.obolibrary.org/obo/MP_0005563	abnormal hemoglobin content	http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin	http://purl.obolibrary.org/obo/UBERON_0000178	blood	MP_0005563
http://purl.obolibrary.org/obo/MP_0001589	abnormal mean corpuscular hemoglobin	http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin	http://purl.obolibrary.org/obo/CL_0000595	enucleate erythrocyte	MP_0001589
http://purl.obolibrary.org/obo/MP_0011469	abnormal urine creatinine level	http://purl.obolibrary.org/obo/CHEBI_16737	creatinine	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0011469
http://purl.obolibrary.org/obo/MP_0001758	abnormal urine glucose level	http://purl.obolibrary.org/obo/CHEBI_17234	glucose	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0001758
http://purl.obolibrary.org/obo/MP_0011434	abnormal urine magnesium level	http://purl.obolibrary.org/obo/CHEBI_25107	magnesium atom	http://purl.obolibrary.org/obo/UBERON_0001088	urine	MP_0011434
