defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0001726	abnormal allantois morphology	http://purl.obolibrary.org/obo/UBERON_0004340	allantois	MP_0001726
http://purl.obolibrary.org/obo/MP_0000818	abnormal amygdala morphology	http://purl.obolibrary.org/obo/UBERON_0001876	amygdala	MP_0000818
http://purl.obolibrary.org/obo/MP_0008225	abnormal anterior commissure morphology	http://purl.obolibrary.org/obo/UBERON_0000935	anterior commissure	MP_0008225
http://purl.obolibrary.org/obo/MP_0000272	abnormal aorta morphology	http://purl.obolibrary.org/obo/UBERON_0000947	aorta	MP_0000272
http://purl.obolibrary.org/obo/MP_0000572	abnormal autopod morphology	http://purl.obolibrary.org/obo/UBERON_0002470	autopod region	MP_0000572
http://purl.obolibrary.org/obo/MP_0001614	abnormal blood vessel morphology	http://purl.obolibrary.org/obo/UBERON_0001981	blood vessel	MP_0001614
http://purl.obolibrary.org/obo/MP_0003385	abnormal body wall morphology	http://purl.obolibrary.org/obo/UBERON_0000309	body wall	MP_0003385
http://purl.obolibrary.org/obo/MP_0010867	abnormal bone trabecula morphology	http://purl.obolibrary.org/obo/UBERON_0008867	trabecular network of bone	MP_0010867
http://purl.obolibrary.org/obo/MP_0008128	abnormal brain internal capsule morphology	http://purl.obolibrary.org/obo/UBERON_0001887	internal capsule of telencephalon	MP_0008128
http://purl.obolibrary.org/obo/MP_0002152	abnormal brain morphology	http://purl.obolibrary.org/obo/UBERON_0000955	brain	MP_0002152
http://purl.obolibrary.org/obo/MP_0002759	abnormal caudal vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0001095	caudal vertebra	MP_0002759
http://purl.obolibrary.org/obo/MP_0009980	abnormal cerebellum dentate nucleus morphology	http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus	MP_0009980
http://purl.obolibrary.org/obo/MP_0009984	abnormal cerebellum interpositus nucleus morphology	http://purl.obolibrary.org/obo/UBERON_0004073	cerebellum interpositus nucleus	MP_0009984
http://purl.obolibrary.org/obo/MP_0003048	abnormal cervical vertebrae morphology	http://purl.obolibrary.org/obo/UBERON_0002413	cervical vertebra	MP_0003048
http://purl.obolibrary.org/obo/MP_0004167	abnormal cingulate gyrus morphology	http://purl.obolibrary.org/obo/UBERON_0002967	cingulate gyrus	MP_0004167
http://purl.obolibrary.org/obo/MP_0005298	abnormal clavicle morphology	http://purl.obolibrary.org/obo/UBERON_0001105	clavicle bone	MP_0005298
http://purl.obolibrary.org/obo/MP_0001510	abnormal coat appearance	http://purl.obolibrary.org/obo/UBERON_0010166	coat of hair	MP_0001510
http://purl.obolibrary.org/obo/MP_0001312	abnormal cornea morphology	http://purl.obolibrary.org/obo/UBERON_0000964	cornea	MP_0001312
http://purl.obolibrary.org/obo/MP_0000780	abnormal corpus callosum morphology	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum	MP_0000780
http://purl.obolibrary.org/obo/MP_0002878	abnormal corticospinal tract morphology	http://purl.obolibrary.org/obo/UBERON_0002707	corticospinal tract	MP_0002878
http://purl.obolibrary.org/obo/MP_0000438	abnormal cranium morphology	http://purl.obolibrary.org/obo/UBERON_0003128	cranium	MP_0000438
http://purl.obolibrary.org/obo/MP_0000812	abnormal dentate gyrus morphology	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus of hippocampal formation	MP_0000812
http://purl.obolibrary.org/obo/MP_0002279	abnormal diaphragm morphology	http://purl.obolibrary.org/obo/UBERON_0001103	diaphragm	MP_0002279
http://purl.obolibrary.org/obo/MP_0000462	abnormal digestive system morphology	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system	MP_0000462
http://purl.obolibrary.org/obo/MP_0002110	abnormal digit morphology	http://purl.obolibrary.org/obo/UBERON_0002544	digit	MP_0002110
http://purl.obolibrary.org/obo/MP_0002102	abnormal ear morphology	http://purl.obolibrary.org/obo/UBERON_0001690	ear	MP_0002102
